basement_n1,0,2.423512829674615,0.48466191967482214
bathroom_e3_1,1,2.1152027492169982,0.22902338885958923
bathroom_e9_1,2,1.658588322726163,0.24794018843821602
bathroom_n1_0,3,1.836877079237075,0.31657840663804876
classroom_n1_0,4,2.754649111857781,0.7489500446215066
e3_1_classroom_000,5,2.2093806046026723,0.2079535429167414
e3_1_classroom_001,6,4.271356582641602,0.07746267318725586
e3_1_classroom_002,7,2.952225685119629,0.0
e3_1_classroom_003,8,2.5597405433654785,0.0
e3_1_lobby_000,9,2.1527640223503113,0.22421262300079522
e3_1_lobby__000,10,2.728816254933675,0.5673798921776522
e3_classroom__000,11,1.721694296056574,0.34661231861922137
e3_meetingroom_001,12,3.161551581488715,0.4015370262671953
lobby_e3_0,13,3.060445785522461,0.1446047100030318
lobby_e3_5,14,4.073840936024983,0.4163223515179161
lounge_e3_2,15,1.3412454426288605,0.16005277726378614
lounge_e9_0,16,2.7058437764644623,0.1251292558214679
lounge_n1_0,17,2.9173262540031883,0.6257585200698639
maindesk_e9_0,18,3.66032041822161,0.3056954372917238
nano_bathroom_000,19,2.3052354199545726,0.4020103459272148
nano_meetingroom_000,20,1.6560215690861577,0.2246227359677859
office_ae0,21,2.0357483572034694,0.5156984704189451
office_ce0,22,2.610326200723648,0.5433183407967788
seminar_e3_0,23,2.328276300972158,0.600562309448457
seminar_e3_1,24,2.4121323390440508,0.5231869905655352
seminar_e9_0,25,2.1051377654075623,0.29213705614529895
seminar_e9_1,26,1.3987508565187454,0.2891771024634323
seminar_e9_2,27,1.7033764600753785,0.1012006452813545
seminar_n0_0,28,2.185765033676511,0.44256043534133066
seminar_n0_1,29,2.1692970126867293,0.4289463862791485
studyroom_e3_0,30,2.633789171343264,0.6879961269201815
studyroom_e9_0,31,3.350105118751526,0.7752291374878613
studyroom_n1,32,3.322198263804118,1.1311616937763544
studyroom_n1_0,33,2.248687673698772,0.6208339005118984
studyroom_n1_1,34,1.9477000172073777,0.41224666421733025
test_basement_n0,35,3.8074906928198677,1.0065328802471518
test_cafeteria_n0,36,4.356317625045777,0.9629298690609897
test_classroom_n1_0,37,2.9488113751778235,0.3975731959210253
test_classroom_n1_2,38,2.487427340613471,0.7539506528127757
test_classroom_n7_0,39,2.307170037428538,0.48785041294834663
test_classroom_n7_1,40,4.141188859939575,0.8686341082914406
test_lobby_n2_0,41,2.6317037900288898,0.45494241040590494
test_lobby_n7_0,42,3.2473967897480933,0.961523808784739
test_lobby_n7_1,43,3.1066075801849364,0.610938830118777
test_lounge_ce_0,44,2.207321035861969,0.5087916405094033
test_lounge_n0,45,2.4280582666397095,0.29536442511887906
test_office_e3_2,46,2.2927655782550573,0.40804593259266175
unknown_e9_1,47,2.7285071849822997,0.3893895054395245
unknown_e9_2,48,3.9637865318971524,0.5942909481715973
unknown_e9_3,49,3.0658047287552446,0.41397178228559756
unknown_e9_4,50,3.7333103815714517,0.44754598926757405
unknown_e9_5,51,3.0570802007402693,0.4578709762045265
unknown_e9_6,52,1.984873652458191,0.05933966527702745
